GEO_ID,NAME,S1502_C01_001E
"24001","Allegany County, Maryland","9700"
"24003","Anne Arundel County, Maryland","172982"
"24005","Baltimore County, Maryland","238633"
"24009","Calvert County, Maryland","22669"
"24011","Caroline County, Maryland","4310"
"24013","Carroll County, Maryland","45529"
"24015","Cecil County, Maryland","18437"
"24017","Charles County, Maryland","34610"
"24019","Dorchester County, Maryland","4621"
"24021","Frederick County, Maryland","77114"
"24023","Garrett County, Maryland","5311"
"24025","Harford County, Maryland","67945"
"24027","Howard County, Maryland","141664"
"24029","Kent County, Maryland","5173"
"24031","Montgomery County, Maryland","435904"
"24033","Prince George's County, Maryland","228098"
"24035","Queen Anne's County, Maryland","13144"
"24037","St. Mary's County, Maryland","24854"
"24039","Somerset County, Maryland","2831"
"24041","Talbot County, Maryland","11674"
"24043","Washington County, Maryland","24423"
"24045","Wicomico County, Maryland","18726"
"24047","Worcester County, Maryland","12200"
"24510","Baltimore city, Maryland","141930"
